timeStamp,robotRealCenCoords,robotHeading
0.0,"(210.45674514770508, -170.69080102443695)",-68.14663467010395
0.0,"(211.29212087392807, -170.8275624513626)",-67.90489378480969
0.0,"(210.85579603910446, -170.698575258255)",-67.98536024342161
0.0,"(210.81756502389908, -170.81717824935913)",-68.00619915057932
0.0,"(210.8055363893509, -170.59322905540466)",-68.02880707673206
0.0,"(210.5954915881157, -170.56399416923523)",-68.05504183333407
0.0,"(210.87867587804794, -170.7694262266159)",-68.03470836017495
0.0,"(210.62019860744476, -170.64968502521515)",-68.0709561741002
0.0,[nan nan]
0.0,"(210.81636595726013, -170.66250383853912)",-68.02378005750293
0.0,"(211.22985291481018, -170.88249921798706)",-67.92710555999057
0.0,"(210.4956732392311, -170.63735115528107)",-68.10822851640097
0.0,"(210.85005897283554, -170.85666584968567)",-67.99979243313784
0.0,"(211.32086330652237, -170.7877801656723)",-67.90060442601091
0.0,"(210.5789651274681, -170.7471033334732)",-68.03334232234094
0.0,"(211.02813804149628, -170.8389447927475)",-67.98659650766137
0.0,"(210.03224349021912, -170.49334347248077)",-68.22127497735384
0.0,"(210.64730197191238, -170.68063759803772)",-68.06369568301248
0.0,"(211.31986939907074, -170.8479299545288)",-67.9018611808182
0.0,[nan nan]
0.0,"(210.8620349764824, -170.79000973701477)",-67.99673933857885
0.0,"(211.23342192173004, -170.7539837360382)",-67.92334895594706
0.0,"(211.0850476026535, -170.8462985754013)",-67.96743782703949
0.0,"(210.9487178325653, -170.73119974136353)",-68.00524975428469
0.0,"(210.87795954942703, -170.65834093093872)",-68.00742858462992
0.0,"(211.4619740843773, -170.86276018619537)",-67.86313400822424
0.0,"(210.78829276561737, -170.73630392551422)",-68.03539137909195
0.0,"(210.7861578464508, -170.5662316083908)",-68.05817689016311
0.0,"(211.2179941534996, -170.74160397052765)",-67.92858771104046
0.0,"(210.99361979961395, -170.6876859664917)",-67.97371477088674
0.0,"(211.06115007400513, -170.6822919845581)",-67.9684828459825
0.0,"(210.97105127573013, -170.84177565574646)",-67.97891254484512
0.0,"(210.31095016002655, -170.62600529193878)",-68.11649304529668
0.0,"(210.6173391342163, -170.69168210029602)",-68.0551511163608
0.0,"(210.91692447662354, -170.7787880897522)",-67.99970364067863
0.0,"(210.0917063355446, -170.60313403606415)",-68.20495082523752
0.0,"(211.16017985343933, -170.8545981645584)",-67.91500246478131
0.0,"(210.74812650680542, -170.72292506694794)",-68.05985028650977
0.0,"(210.47080838680267, -170.65783512592316)",-68.09071591136906
0.0,"(211.08627027273178, -171.00579261779785)",-67.95282805240484
0.0,"(210.91822242736816, -170.85017204284668)",-67.99566699887916
0.0,"(210.44404077529907, -170.79614984989166)",-68.1248941779758
0.0,"(211.3451999425888, -171.12298369407654)",-67.87045597101448
0.0,"(210.51818400621414, -170.67443001270294)",-68.07541628762823
0.0,"(210.8282458782196, -170.9480024576187)",-68.00867167905886
0.0,"(211.00994855165482, -170.80715095996857)",-67.97028601592339
0.0,"(210.94909977912903, -170.84755623340607)",-67.99828296133127
0.0,"(210.94187486171722, -170.8880056142807)",-67.95716522252779
0.0,"(210.4251230955124, -170.8892970085144)",-68.0981539873752
0.0,"(211.08812642097473, -170.9078596830368)",-67.9491260898747
0.0,"(210.72925966978073, -170.637455701828)",-68.06747277762351
0.0,"(211.21923178434372, -170.97789871692657)",-67.94569050472218
0.0,"(211.2429711818695, -170.90509223937988)",-67.92664793731618
0.0,"(211.15891069173813, -170.75817596912384)",-67.95704910931191
0.0,"(210.88021010160446, -170.86042737960815)",-67.99526401771813
0.0,"(211.08838313817978, -170.98326921463013)",-67.93692737201705
0.0,"(210.87093484401703, -170.88416707515717)",-68.02606134068571
0.0,"(211.4826363325119, -171.01006376743317)",-67.85828457391352
0.0,"(210.53479880094528, -170.6736228466034)",-68.04611477608887
