timeStamp,robotRealCenCoords,robotHeading
0.0,"(213.75235134363174, -171.23485732078552)",-66.93336767726707
0.0,"(213.35227394104004, -170.99492144584656)",-67.11358221851786
0.0,"(213.46364361047745, -171.00662004947662)",-67.0804558010433
0.0,"(213.28433138132095, -171.05792701244354)",-67.08906866958668
0.0,"(213.3945734500885, -170.94239401817322)",-67.11239376560228
0.0,"(213.99568164348602, -171.20308339595795)",-66.96561983052787
0.0,"(213.2402005791664, -170.8583221435547)",-67.08807829215704
0.0,"(213.67379850149155, -171.09167098999023)",-66.99534481379577
0.0,[nan nan]
0.0,"(213.4283069372177, -170.87444365024567)",-67.11170391649611
0.0,[nan nan]
0.0,"(213.66858983039856, -171.1323629617691)",-67.09035274515065
0.0,"(213.46928530931473, -171.0371880531311)",-67.11065206736393
0.0,[nan nan]
0.0,"(213.75266468524933, -171.11727845668793)",-67.02022036275295
0.0,"(213.29329931735992, -170.86845707893372)",-67.16221999559752
0.0,"(213.89525651931763, -171.13408243656158)",-66.93902307389985
0.0,"(213.96179181337357, -171.10919535160065)",-66.98929326619114
0.0,"(213.60262840986252, -171.09339153766632)",-67.0015534557513
0.0,"(212.7166087627411, -170.8632391691208)",-67.26099136118508
0.0,"(213.9720031619072, -171.14773106575012)",-66.9642264719372
0.0,"(213.43188059329987, -171.0675506591797)",-67.06563429054437
0.0,"(213.67825204133987, -171.08284616470337)",-67.01614957000763
0.0,"(213.7789357304573, -171.04670810699463)",-66.9899626247298
0.0,[nan nan]
0.0,[nan nan]
0.0,"(212.92744237184525, -171.02143359184265)",-67.17491731726457
0.0,[nan nan]
0.0,"(213.1709829568863, -171.12373185157776)",-67.13049376690282
0.0,"(213.58088785409927, -171.08996152877808)",-67.07240300801186
0.0,"(213.44290220737457, -170.96909928321838)",-67.08328349935968
0.0,"(213.81068462133408, -171.1040939092636)",-67.00853390908307
0.0,"(213.30032515525818, -171.2248969078064)",-67.10593923683662
0.0,"(213.58578860759735, -170.89856100082397)",-67.08656882035046
0.0,"(213.74344033002853, -171.11123871803284)",-66.97436247266549
0.0,[nan nan]
0.0,"(213.1039183139801, -171.03220975399017)",-67.1263273515091
0.0,"(213.9247848391533, -171.0806655883789)",-66.98109020899795
0.0,"(212.50938856601715, -170.7030452489853)",-67.30367321330849
0.0,[nan nan]
0.0,"(213.1031095981598, -170.87177872657776)",-67.20031879078785
0.0,[nan nan]
0.0,[nan nan]
0.0,"(213.86628264188766, -171.08352673053741)",-67.0200291174562
0.0,"(213.63642400503159, -171.05781602859497)",-67.03113500504664
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(213.31942796707153, -171.00341153144836)",-67.12015286049942
0.0,[nan nan]
0.0,[nan nan]
0.0,"(213.64284336566925, -171.00473415851593)",-67.05784787489056
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(213.50216418504715, -170.7798398733139)",-67.0822999521192
0.0,"(214.27879393100739, -171.19858276844025)",-66.87287952197744
0.0,"(213.3575274348259, -171.20341336727142)",-67.11283772789832
0.005039400013629347,[nan nan]
0.20173910004086792,"(213.38654339313507, -171.02414906024933)",-67.09670482107876
0.39317510003456846,"(213.35002541542053, -170.83505856990814)",-67.15390082518844
0.6336913999984972,[nan nan]
0.8346926000085659,"(213.92561215162277, -171.14675319194794)",-66.99178628523819
1.0182765999925323,"(214.01665645837784, -171.16093504428864)",-66.93978122489771
1.2057862000074238,"(213.50622987747192, -171.1033673286438)",-67.10152693463279
1.379275500017684,[nan nan]
