timeStamp,robotRealCenCoords,robotHeading
0.0,"(215.5549060702324, -170.62908232212067)",-66.75024347542987
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(214.03957283496857, -170.17278718948364)",-67.05045761020861
0.0,"(213.83435064554214, -170.17395901679993)",-67.10778338791252
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(214.59180283546448, -170.14801275730133)",-67.03805398667586
0.0,[nan nan]
0.0,[nan nan]
0.0,"(214.6253204345703, -170.43619871139526)",-66.92585446918007
0.0,[nan nan]
0.0,"(214.3337944149971, -170.15381455421448)",-67.03674942054438
0.0,"(215.36550426483154, -170.4047932624817)",-66.81976797099142
0.0,"(214.92785090208054, -170.63257038593292)",-66.87587797502307
0.0,[nan nan]
0.0,"(214.65175491571426, -170.32862627506256)",-66.98523613382415
0.0,"(215.2581012248993, -170.29694736003876)",-66.87783823931487
0.0,[nan nan]
0.0,"(214.2373490333557, -170.36176764965057)",-67.05709655408185
0.0,[nan nan]
0.0,[nan nan]
0.0,"(214.87376582622528, -170.55356740951538)",-66.89143714595237
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(214.95951092243195, -170.3636165857315)",-66.85352276586963
0.0,"(214.11462253332138, -170.08230578899384)",-67.0484768553493
0.0,"(215.13264966011047, -170.42566227912903)",-66.90342412794574
0.0,"(214.96826779842377, -170.524827003479)",-66.83389963238417
0.0,[nan nan]
0.0,[nan nan]
0.0,"(214.5983384847641, -170.25684809684753)",-66.94710318768797
0.0,[nan nan]
0.0,"(214.6997094154358, -170.42497062683105)",-66.96390545304621
0.0,"(214.79318755865097, -170.283349275589)",-66.92977499776364
0.0,"(214.5407573580742, -170.25414323806763)",-67.00370496533986
0.0,"(214.7189301252365, -170.5214968919754)",-66.95929507535644
0.1855523000122048,[nan nan]
0.48122869996586815,"(214.63146674633026, -170.30134284496307)",-66.91843688374142
0.7209954999852926,"(214.67824375629425, -170.42062783241272)",-66.9396036399793
0.9683749999967404,[nan nan]
1.1833148999721743,[nan nan]
1.395644899981562,"(214.46162343025208, -170.37872064113617)",-67.01476304160612
1.5909761000075378,[nan nan]
1.799589800008107,"(214.3883650302887, -170.4376550912857)",-66.94188492316208
2.0046689999871887,[nan nan]
2.2169885999755934,[nan nan]
2.4447847999981605,"(214.78526777029037, -170.3316307067871)",-66.91493982688638
2.6901048999861814,"(213.95817279815674, -169.86557018756866)",-67.15026033436084
2.8992086999933235,[nan nan]
3.1112922999891452,"(214.7100629210472, -170.39034068584442)",-67.02116292885842
3.357759599981364,[nan nan]
3.617656199960038,"(214.52065712213516, -170.33404791355133)",-67.01117719229185
3.873926699976437,[nan nan]
4.071219099976588,"(214.89642751216888, -170.29934811592102)",-66.92474797853451
4.265214399958495,"(214.95081454515457, -170.26464092731476)",-66.9200146574397
4.532118399976753,"(214.59313470125198, -170.43987023830414)",-66.91699571382655
4.777702999999747,[nan nan]
5.019983800011687,"(214.8977324962616, -170.40764939785004)",-66.9087858264442
5.254982299986295,"(214.80068546533585, -170.37214505672455)",-66.91358744943072
5.475115299981553,"(214.1830912232399, -170.1427628993988)",-67.02445508003836
5.737582799978554,"(214.74107891321182, -170.37357032299042)",-66.9189901290642
5.981442499964032,[nan nan]
6.2321511000045575,"(214.03642362356186, -170.3113842010498)",-67.03998010002181
