timeStamp,robotRealCenCoords,robotHeading
0.0,"(216.1353184580803, -170.63782167434692)",-67.49340903826227
0.0,"(215.53133779764175, -170.7203792333603)",-67.58631327135278
0.0,[nan nan]
0.0,"(215.7333437204361, -170.57065534591675)",-67.57957187464199
0.0,"(215.30129796266556, -170.53608357906342)",-67.5977879891584
0.0,"(216.03010046482086, -170.73309576511383)",-67.5156071530648
0.0,[nan nan]
0.0,"(215.3726235628128, -170.65756058692932)",-67.59040455466562
0.0,"(216.2817960381508, -170.70515823364258)",-67.40425457902609
0.0,"(215.9472811818123, -170.64496612548828)",-67.5008744350251
0.0,"(215.35318142175674, -170.35250401496887)",-67.69002286371025
0.0,[nan nan]
0.0,"(215.83802086114883, -170.7289603948593)",-67.51606477573921
0.0,"(215.49095153808594, -170.50328588485718)",-67.65089270995526
0.0,[nan nan]
0.0,"(216.00397711992264, -170.84180188179016)",-67.44757846893148
0.0,"(215.4985613822937, -170.52761685848236)",-67.61829221704679
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(215.79611599445343, -170.45638227462769)",-67.53033987110453
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(215.4937053322792, -170.44192600250244)",-67.6118650090378
0.0,"(215.92944985628128, -170.77038502693176)",-67.48565677355431
0.0,"(215.77985721826553, -170.4725114107132)",-67.54695772135517
0.0,[nan nan]
0.0,[nan nan]
0.0,"(215.78506976366043, -170.4314867258072)",-67.61210406565876
0.0,[nan nan]
0.0,"(216.27716374397278, -170.66857814788818)",-67.43705997760966
0.0,[nan nan]
0.0,"(215.77734315395355, -170.4528512954712)",-67.5958072342991
0.0,"(216.11659967899323, -170.6890149116516)",-67.49227522686004
0.0,"(215.83893877267838, -170.5173192024231)",-67.5222597573164
0.0,[nan nan]
0.0,"(215.8309949040413, -170.40487110614777)",-67.5422380606387
0.0,[nan nan]
0.0,[nan nan]
0.0,"(215.564788043499, -170.45831334590912)",-67.6215911984159
0.0,[nan nan]
0.0,"(215.41655015945435, -170.4453227519989)",-67.65525037064572
0.0,[nan nan]
0.0,"(215.9026049375534, -170.51898980140686)",-67.53815360751503
0.0,[nan nan]
0.0,"(216.14208835363388, -170.48480689525604)",-67.49445405720529
0.0,[nan nan]
0.0,[nan nan]
0.0,"(215.04904174804688, -170.31860673427582)",-67.75436324569178
0.0,[nan nan]
0.0,[nan nan]
0.0,"(215.45771604776382, -170.45551455020905)",-67.6566915405606
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(215.63859122991562, -170.50109028816223)",-67.59836172504869
0.0,"(215.65867018699646, -170.5508247613907)",-67.56000338266989
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.13350330002140254,"(215.84634566307068, -170.54393815994263)",-67.60185195171456
0.28406979999272153,"(215.67334187030792, -170.41945338249207)",-67.5753303271674
0.4334798000054434,"(215.83459377288818, -170.4787484407425)",-67.55754451456869
0.5716308000264689,[nan nan]
0.7083926000050269,[nan nan]
0.8626272000255994,[nan nan]
1.0042906000162475,[nan nan]
1.1508673999924213,[nan nan]
1.2888286000234075,[nan nan]
1.429622100025881,[nan nan]
1.5677772000199184,[nan nan]
1.7296954999910668,[nan nan]
1.868914799997583,"(215.40430217981339, -170.38895738124847)",-67.62941176501556
1.9882108999881893,[nan nan]
2.123821399989538,[nan nan]
2.275530199985951,[nan nan]
2.4064710999955423,[nan nan]
2.55744380003307,[nan nan]
2.709335200022906,[nan nan]
2.857954900013283,[nan nan]
2.995521600008942,[nan nan]
3.147011300025042,"(216.22349679470062, -170.68239605426788)",-67.47039130075933
3.291546599997673,[nan nan]
3.441875600023195,"(216.0639307498932, -170.4326215982437)",-67.51889930424475
3.5878547999891452,[nan nan]
3.752834399987478,"(215.93508160114288, -170.48254024982452)",-67.53637092814165
3.90595669997856,"(215.68054074048996, -170.5239520072937)",-67.58272059184935
4.040233900013845,[nan nan]
4.173501299985219,[nan nan]
4.322612099989783,[nan nan]
4.48748940002406,"(215.6947215795517, -170.4893456697464)",-67.58218100690493
4.646294699981809,"(215.21137130260468, -170.3822876214981)",-67.69236561859557
4.821216700016521,"(215.47381430864334, -170.41837179660797)",-67.67588437212834
4.987239199981559,"(215.75501573085785, -170.44091522693634)",-67.55289315574392
5.151083500008099,[nan nan]
5.333092599990778,"(215.51523005962372, -170.5020090341568)",-67.61239776379307
5.479960200027563,"(216.0047226548195, -170.5410670042038)",-67.53724519235541
5.6326276999898255,[nan nan]
5.778981200011913,[nan nan]
5.930624400032684,"(215.7235722541809, -170.51850044727325)",-67.57393696857672
6.076791200030129,[nan nan]
6.224278300011065,"(215.60231292247772, -170.47078025341034)",-67.59889447980395
6.370326399977785,"(216.0150521993637, -170.61424922943115)",-67.49008956632565
6.519436499977019,[nan nan]
6.644576299993787,"(215.70231914520264, -170.5046889781952)",-67.57303538360628
6.791609100007918,"(215.23791217803955, -170.469092130661)",-67.65783218215199
6.918924400000833,[nan nan]
7.049383700010367,[nan nan]
7.210591999988537,[nan nan]
7.358803000010084,[nan nan]
7.4937138999812305,[nan nan]
7.657842300017364,[nan nan]
7.833159799978603,"(215.52391850948334, -170.437673330307)",-67.6699899188746
8.018758399994113,[nan nan]
8.17189729999518,[nan nan]
8.318902999977581,[nan nan]
8.450041100033559,"(216.02168744802475, -170.52860844135284)",-67.55682051451667
8.590390200028196,[nan nan]
8.71974189998582,[nan nan]
8.860930800030474,[nan nan]
8.989719600009266,[nan nan]
9.137909399985801,[nan nan]
9.282564499997534,[nan nan]
9.42268449999392,"(215.5986967086792, -170.38903713226318)",-67.62693240634685
9.562015599978622,[nan nan]
9.713138499995694,[nan nan]
9.86893890000647,[nan nan]
10.029825799982063,[nan nan]
10.180428899999242,[nan nan]
10.335655000002589,[nan nan]
10.468994199996814,[nan nan]
10.606112900015432,[nan nan]
10.743110999988858,"(216.0289003252983, -170.4553165435791)",-67.54188289080184
10.877282500034198,"(215.2813816666603, -170.43571412563324)",-67.6705158434407
11.012493600021116,"(215.67951422929764, -170.53399622440338)",-67.61030772590703
11.18029160000151,[nan nan]
11.317870700033382,"(216.20351362228394, -170.70713460445404)",-67.47651115025566
11.465754900011234,"(215.8313763141632, -170.56850790977478)",-67.57196304390659
11.617175600025803,[nan nan]
11.770608399994671,[nan nan]
11.92112100002123,"(215.31382149457932, -170.42372465133667)",-67.68898467495642
12.089223999995738,[nan nan]
12.243070900032762,[nan nan]
12.40007750003133,"(215.4062695503235, -170.3633096218109)",-67.65560554048257
12.549674600013532,[nan nan]
12.691653400019277,[nan nan]
12.858828000025824,[nan nan]
13.041731300007086,"(216.22977381944656, -170.47760367393494)",-67.425182278643
13.209045800031163,[nan nan]
13.406386099988595,[nan nan]
13.571733099990524,"(215.4983372092247, -170.436084151268)",-67.61736331131966
13.725779100030195,[nan nan]
13.864059499988798,[nan nan]
13.998208399978466,[nan nan]
14.13471529999515,[nan nan]
14.2739829000202,"(215.27262192964554, -170.35939800739288)",-67.69506354331773
14.424629400018603,[nan nan]
14.584846900019329,[nan nan]
14.727732400002424,[nan nan]
14.875461400020868,[nan nan]
15.011463200033177,"(215.51099222898483, -170.42619514465332)",-67.62729440637285
15.146260100009385,"(215.50016689300537, -170.51025342941284)",-67.60767127288742
15.297814599995036,[nan nan]
15.487535100022797,"(215.70534509420395, -170.615110039711)",-67.63687716177839
15.683925100020133,[nan nan]
15.861121200025082,"(215.38290685415268, -170.35514724254608)",-67.69444199610325
16.027558800007682,"(215.76795029640198, -170.42722916603088)",-67.53657583381676
16.242978700029198,"(215.6586458683014, -170.45142376422882)",-67.61573089610803
16.44475770002464,[nan nan]
16.589567899995018,[nan nan]
16.740221499989275,"(215.22745871543884, -170.3514506816864)",-67.70128584565161
16.892801899986807,"(215.50151640176773, -170.42055642604828)",-67.68244818392071
17.038398500008043,[nan nan]
17.16417589999037,"(215.77320331335068, -170.50864017009735)",-67.61990414169091
